"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","Age","Debates","Private Member Bills","Questions","Attendance","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Dhananjay Singh","Elected",18/05/2009,"In office","Uttar Pradesh","Jaunpur","Bahujan Samaj Party","Male","Post Graduate","M.A.(Political Science)",37,32,0,152,65%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,25.794326,82.6058773892503,-082.605877
"Dharmendra Yadav","Elected",18/05/2009,"In office","Uttar Pradesh","Badaun","Samajwadi Party","Male","Post Graduate","M.A., L.L.B.; Educated at Allahabad University, Allahabad, Uttar Pradesh",33,18,0,601,76%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,26.043204,83.0883885723962,-083.088389
"Dhruva Narayana Rangaswamy","Elected",18/05/2009,"In office","Karnataka","Chamrajanagar","Indian National Congress","Male","Post Graduate","M.Sc. (Agriculture); Educated at University of Agricultural Sciences, Bangalore",51,50,0,418,80%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,23.541989,93.2446776220520,-093.244678
"Digvijay Singh","Elected",18/05/2009,"24-06-2010","Bihar","Banka","Independent","Male","Post Graduate","M.A., M. Phil.; Educated at Patna University, Patna and Jawaharlal Nehru University, New Delhi and Tokyo University (Japan) ",56,2,0,0,77%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",8.7,0.2,62,77%,10.9,0.2,64,87%,12.872321,77.5190177676571,-077.519018
"Dilip Kumar Mansukhlal Gandhi","Elected",18/05/2009,"In office","Maharashtra","Ahmednagar","Bharatiya Janata Party","Male","Matric","S.S.C.; Educated at Pune University, Pune (Maharashtra)",61,24,0,171,67%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,19.159233,74.6045238326875,-074.604524
"Dilip Singh Ju Dev","Elected",18/05/2009,"In office","Chhattisgarh","Bilaspur","Bharatiya Janata Party","Male","Post Graduate","B.A., LL.B. (Pt. II); Educated at Mayo College, Ajmer, Raj Kumar College, Raipur, ST. Xavier College, Ranchi, Chhotanagpur Law College, Ranchi",70,2,0,189,62%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,9.6,0.3,120,64%,22.413616,81.9795158826418,-081.979516
"Dimple Yadav","Elected",09/06/2012,"In office","Uttar Pradesh","Kannauj","Samajwadi Party","Female","Graduate","Graduation in humanities from Lucknow University",34,0,0,0,50%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",1.1,0.1,19,77%,1.2,0,17,80%,20.125299,81.1092632470914,-081.109263
"Dinesh Chandra Yadav","Elected",18/05/2009,"In office","Bihar","Khagaria","Janata Dal (United)","Male","Diploma Course","D.C.E. (Civil), I.A.; Educated at Government Polytechnic, Saharsa and C.M. Science College, Madhipura, Bihar",62,35,0,311,91%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,25.491471,86.5705190024402,-086.570519
"Dinesh Kashyap","Elected",13/05/2011,"In office","Chhattisgarh","Bastar","Bharatiya Janata Party","Male","Others",,42,0,0,6,53%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,77%,3.8,0,65,64%,19.415145,81.4553381958303,-081.455338
"Dinesh Trivedi","Elected",18/05/2009,"In office","West Bengal","Barrackpur","All India Trinamool Congress","Male","Post Graduate","M.B.A.",62,0,0,0,55%,"This MP was a Minister. He tendered his resignation on 18th March, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 19th March, 2012 (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",6.8,0.2,48,77%,6.9,0.1,28,72%,26.454154,90.9797137128098,-090.979714
"Dinsha J. Patel","Elected",18/05/2009,"In office","Gujarat","Kheda","Indian National Congress","Male","Matric",,75,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",22.948450,73.0477956622586,-073.047796
"Dip Gogoi","Elected",18/05/2009,"In office","Assam","Kaliabor","Indian National Congress","Male","Graduate","B.Sc.",60,0,0,0,79%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,16.2,0.5,59,81%,19.819022,83.1596693527253,-083.159669
"Dudhgaonkar Ganeshrao Nagorao","Elected",18/05/2009,"In office","Maharashtra","Parbhani","Shiv Sena","Male","Graduate","B.A., LL.B.",66,37,0,291,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,19.307986,76.6649378625424,-076.664938
"Dushyant Singh","Elected",18/05/2009,"In office","Rajasthan","Jhalawar-Baran","Bharatiya Janata Party","Male","Post Graduate","B.A. , M.B.A. (Hotel Administration) and P.G. Diploma in Hotel Operations; Educated at Doon School, Dehradun,; St. Stephen`s College, Delhi, Johnson and Wales University, Providence, RI, USA and IHTTI School of Mangaement, Neuchatel, Switzerland, ",38,24,0,304,78%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,24.314496,76.2031297780977,-076.203130
"E. Ahamed","Elected",18/05/2009,"In office","Kerala","Malappuram","Muslim League Kerala State Committee","Male","Graduate","B.A., B.L.; Educated at Government Brennen College, Tellicherry and Government Law College, Thiruvananthapuram (Kerala) ",74,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",11.105592,76.1894108485394,-076.189411
"E. T. Mohammed Basheer","Elected",18/05/2009,"In office","Kerala","Ponnani","Muslim League Kerala State Committee","Male","Inter/ Higher Secondary",,66,45,0,135,77%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,50.6,1.1,299,84%,11.912195,79.7373990727440,-079.737399
"E.G. Sugavanam","Elected",18/05/2009,"In office","Tamil Nadu","Krisnagiri","Dravida Munnetra Kazhagam","Male","Diploma Course","Diploma in Pharmacy; Educated at K.L.E. Society, Nijalingappa College, Bangalore",54,17,0,614,57%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,16.425917,80.7777401552515,-080.777740
"Eknath Mahadeo Gaikwad","Elected",18/05/2009,"In office","Maharashtra","Mumbai-South-Central","Indian National Congress","Male","Under Graduate",,72,7,0,724,98%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,19.111174,72.8761516795260,-072.876152
"Farooq Abdullah","Elected",18/05/2009,"In office","Jammu and Kashmir","Srinagar","Jammu and Kashmir National Conference","Male","Graduate","M.B.B.S.; Educated at S.M.S. Medical College, Jaipur, Rajasthan",74,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",34.265565,75.0663171208080,-075.066317
"Feroze Varun Gandhi","Elected",18/05/2009,"In office","Uttar Pradesh","Pilibhit","Bharatiya Janata Party","Male","Graduate","B.Sc. (Economics); educated at London School of Economics (LSE), London University, UK.",32,2,1,499,70%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,28.501206,80.0167088944251,-080.016709
"Francisco Sardinha","Elected",18/05/2009,"In office","Goa","South Goa","Indian National Congress","Male","Graduate","B.Sc., B.Ed.; Educated at Chowgule College, Bombay University (Maharashtra) ",66,13,1,185,94%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,20.5,0.5,150,87%,15.121925,74.0596358841262,-074.059636
"G.V. Harsha Kumar","Elected",18/05/2009,"In office","Andhra Pradesh","Amalapuram","Indian National Congress","Male","Post Graduate","M.Sc. (Marine Geology); Educated at Andhra University, Waljair, Andhra Pradesh",53,3,0,34,82%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,27.638719,76.6734339971837,-076.673434
"Gaddam Vivekanand","Elected",18/05/2009,"In office","Andhra Pradesh","Peddapalle","Indian National Congress","Male","Graduate","M.B.B.S.; Educated at Osmania Medical College, Hyderabad, Andhra Pradesh",54,8,0,57,66%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,25.466478,85.3768359660654,-085.376836
"Gadhvi Mukeshkumar Bhairavdanji","Elected",18/05/2009,"In office","Gujarat","Banaskantha","Indian National Congress","Male","Graduate","B.Com; Educated at Gujarat University",49,5,0,349,83%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,30.1,1,276,80%,24.268666,72.1447035065897,-072.144704
"Gajanan Dharmshi Babar","Elected",18/05/2009,"In office","Maharashtra","Maval","Shiv Sena","Male","Under Matric",,69,18,0,804,69%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,26.037995,83.5526322273334,-083.552632
"Gajendra Singh Rajukhedi","Elected",18/05/2009,"In office","Madhya Pradesh","Dhar","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Government Arts and Commerce College and Christian College, Indore, Madhya Pradesh",47,1,0,104,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,22.578224,75.0929451117277,-075.092945
"Ganesh Singh","Elected",18/05/2009,"In office","Madhya Pradesh","Satna","Bharatiya Janata Party","Male","Post Graduate","M.A., LL.B.; Educated at Awadesh Pratap Singh University,; Rewa and Law College, Satna, Madhya Pradesh",50,111,0,457,82%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,24.578277,80.8729640256885,-080.872964
"Gangasandra Siddappa Basavaraj","Elected",18/05/2009,"In office","Karnataka","Tumkur","Bharatiya Janata Party","Male","Graduate","B.Sc., B.L.; Educated at First Grade College, Tumkur and Vidyodaya Law College, Tumkur, Karnataka",71,2,2,161,75%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,13.418685,76.9082738266413,-076.908274
"Ghansyam Anuragi","Elected",18/05/2009,"In office","Uttar Pradesh","Jalaun","Samajwadi Party","Male","Post Graduate","M.A. (Acharya), LL.B. (2nd year); Educated at Sampoornanad Sanskrit Vishwavidyalaya, Varanasi and Bundel Khand University, Jhansi, Uttar Pradesh",39,46,0,256,95%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,26.105968,79.4443955210590,-079.444396
"Girija Vyas","Elected",18/05/2009,"In office","Rajasthan","Chittorgarh","Indian National Congress","Female","Doctorate","M.A., Ph.D.; Educated at University of Udaipur (Rajasthan) and in U.S.A.",66,18,0,16,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,13.308128,79.0598228866808,-079.059823
"Gobinda Chandra Naskar","Elected",18/05/2009,"In office","West Bengal","Bongaon","All India Trinamool Congress","Male","Post Graduate","M.A., B.T.; Educated at Jadavpur University (JU) ",71,8,0,1,78%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,26.333065,90.6216807279337,-090.621681
"Gopal Singh Shekhawat","Elected",18/05/2009,"In office","Rajasthan","Rajsamand","Indian National Congress","Male","Graduate","B.A., L.L.B.; Educated at Rajasthan University",61,13,0,73,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,25.419085,73.9458951021497,-073.945895
"Gorakh Prasad Jaiswal","Elected",18/05/2009,"In office","Uttar Pradesh","Deoria","Bahujan Samaj Party","Male","Matric","Educated at Town Hindi High School, Golaghat, Assam",73,29,0,530,84%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,26.423915,83.8352119259211,-083.835212
"Goraknath Pandey","Elected",18/05/2009,"In office","Uttar Pradesh","Bhadohi","Bahujan Samaj Party","Male","Post Graduate","M.A., B.Ed.; Educated at Gyanpur P.G. College, Bhadohi, Agra University, Uttar Pradesh",61,77,0,108,95%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,21.879639,77.7792483618889,-077.779248
"Govind Prasad Mishra","Elected",18/05/2009,"In office","Madhya Pradesh","Sidhi","Bharatiya Janata Party","Male","Graduate","B.A., LL.B. & D.C.E.; Educated at A.P.S. University, Reva (Madhya Pradesh) and; Samrat Ashok Technical Institute, Vidisha, Madhya Pradesh",63,30,0,163,94%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,24.243573,82.0608770046626,-082.060877
"Gowdar Mallikarjunappa Siddeswara","Elected",18/05/2009,"In office","Karnataka","Davanagere","Bharatiya Janata Party","Male","Matric","Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka) ",60,15,0,639,60%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,14.367205,75.9670815486963,-075.967082
"Gurudas Dasgupta","Elected",18/05/2009,"In office","West Bengal","Ghatal","Communist Party of India","Male","Post Graduate","M. Com; Educated at Asutosh College, Calcutta and; University College of Arts & Commerce, Calcutta",75,71,0,411,87%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,24.668279,84.8451661374980,-084.845166
"Gurudas Kamat","Elected",18/05/2009,"In office","Maharashtra","Mumbai-North-West","Indian National Congress","Male","Post Graduate","B.Com., LL.B., M.B.A.; Educated at R.A. Podar College of Commerce and Economics and Government Law College, Mumbai, Maharashtra",57,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",19.111174,72.8761516795260,-072.876152
"H.D. Devegowda","Elected",18/05/2009,"In office","Karnataka","Hassan","Janata Dal (Secular)","Male","Diploma Course","D.C.E.; Educated at Government High School, Holenarsipura and Smt.L.V. Polytechnic, Hassan, Karnataka",79,21,0,0,69%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,13.029806,76.0955247235006,-076.095525
"H.D. Kumaraswamy","Elected",18/05/2009,"In office","Karnataka","Bangalore Rural","Janata Dal (Secular)","Male","Graduate","B.Sc.",52,2,0,0,38%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,12.872321,77.5190177676571,-077.519018
"Hamdullah Sayeed","Elected",18/05/2009,"In office","Lakshadweep","Lakshadweep","Indian National Congress","Male","Graduate","B.Sc., LL.B.; Educated at Indian Law Society, Pune",30,31,1,377,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,31,1,377,85%,09.983055,72.9331642778204,-072.933164
"Hansraj Gangaram Ahir","Elected",18/05/2009,"In office","Maharashtra","Chandrapur","Bharatiya Janata Party","Male","Inter/ Higher Secondary","S.S.C.; Educated at L.T.Y. School, Chandrapur, Maharashtra",57,87,24,746,72%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,20.095840,79.3985358358084,-079.398536
"Hari Manjhi","Elected",18/05/2009,"In office","Bihar","Gaya","Bharatiya Janata Party","Male","Under Matric",,49,12,0,78,95%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,24.668279,84.8451661374980,-084.845166
"Haribhau Madhav Jawale","Elected",18/05/2009,"In office","Maharashtra","Raver","Bharatiya Janata Party","Male","Graduate","B.Sc.; Educated at M.J. College, Jalgaon, Maharashtra",59,36,1,226,84%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,17.281703,73.4488974189791,-073.448897
"Harin Pathak","Elected",18/05/2009,"In office","Gujarat","Ahmedabad East","Bharatiya Janata Party","Male","Graduate","B.A., B.Ed.; Educated at Gujarat University, Ahmedabad (Gujarat) ",65,26,0,262,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,30.1,1,276,80%,19.159233,74.6045238326875,-074.604524
"Harischandra Deoram Chavan","Elected",18/05/2009,"In office","Maharashtra","Dindori","Bharatiya Janata Party","Male","Graduate","B.A. (With English Special); Educated at K.G. Joshi College, Thane (Maharashtra) ",60,6,0,566,80%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,10.425948,77.8026704047812,-077.802670
"Harish Choudhary","Elected",18/05/2009,"In office","Rajasthan","Barmer","Indian National Congress","Male","Post Graduate","M.A. (Economics); Educated at Jai Narayanvyas University, Jodhpur, Rajasthan",42,45,0,444,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,25.581183,71.4671891805628,-071.467189
"Harish Rawat","Elected",18/05/2009,"In office","Uttarakhand","Hardwar","Indian National Congress","Male","Graduate","B.A., LL.B; Educated at Lucknow University, Uttar Pradesh",64,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",29.892869,78.0293360463885,-078.029336
"Harsh Vardhan","Elected",18/05/2009,"In office","Uttar Pradesh","Maharajganj","Indian National Congress","Male","Graduate","B.A.; Educated at Lucknow University , Uttar Pradesh",64,37,0,275,80%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,09.935836,77.9680398324710,-077.968040
"Harsimrat Kaur Badal","Elected",18/05/2009,"In office","Punjab","Bathinda","Shiromani Akali Dal","Female","Graduate","Degree in Dress designing",46,23,0,210,76%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,19,0.6,127,78%,30.178060,75.0118373960848,-075.011837
"Hassan Khan","Elected",18/05/2009,"In office","Jammu and Kashmir","Ladakh","Independent","Male","Graduate","B.A.; Educated at Kashmir University, Srinagar, Jammu & Kashmir",72,14,0,47,94%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,35.4,0,84,89%,26.922597,83.9759949136846,-083.975995
"Hemanand Biswal","Elected",18/05/2009,"In office","Orissa","Sundargarh","Indian National Congress","Male","Inter/ Higher Secondary",,72,8,0,195,87%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,22.059836,84.4584306349536,-084.458431
"Hukamdeo Narayan Yadav","Elected",18/05/2009,"In office","Bihar","Madhubani","Bharatiya Janata Party","Male","Graduate","Graduate, Amanat (Land surveying); Educated at Chandradhari Mithila College, Darbhanga, Bihar",72,74,0,232,95%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,26.355389,86.2388335626448,-086.238834
"Ijyaraj Singh","Elected",18/05/2009,"In office","Rajasthan","Kota","Indian National Congress","Male","Post Graduate","MBA (Marketing), B.Sc. (Computer Science); Educated at Columbia Business School, Columbia University, New York, U.S.A. and Brown University Providence, Rhode Island, U.S.A.",47,28,0,381,87%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,25.191239,76.0979068018658,-076.097907
"Inder Singh Namdhari","Elected",18/05/2009,"In office","Jharkhand","Chatra","Independent","Male","Graduate","B.E. (Telecommunication); Educated at BIT, Sindri, Jharkhand",69,18,2,159,90%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,25.9,0.8,185,65%,27.280301,96.4039691254341,-096.403969
"Inderjit Singh Rao","Elected",18/05/2009,"In office","Haryana","Gurgaon","Indian National Congress","Male","Graduate","B.A. (Hons), LL.B., Educated at University of Delhi, Delhi",62,2,0,10,80%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,8.7,0.1,149,69%,28.094081,76.9919160158360,-076.991916
"Ingrid Mcleod","Nominated",18/09/2009,"In office",,,"Independent","Female","Graduate","Educated at Guru Ghasidas University, Bilaspur, Chhattisgarh",44,4,0,102,80%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",24.8,0.5,198,77%,31.6,0,99,90%,39.110000,65.2900000000000,"#N/A"
"Ismail Hussain","Elected",18/05/2009,"In office","Assam","Barpeta","Indian National Congress","Male","Post Graduate","M.A.; Educated at B.H. College, Howli, Barpeta, Assam and Gauwhati University, Assam",62,0,0,0,94%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,16.2,0.5,59,81%,26.454154,90.9797137128098,-090.979714
"J. Shantha","Elected",18/05/2009,"In office","Karnataka","Bellary","Bharatiya Janata Party","Female","Inter/ Higher Secondary",,39,10,0,516,60%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,15.197650,76.4173838209143,-076.417384
"J.M. Aaron Rashid","Elected",18/05/2009,"In office","Tamil Nadu","Theni","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Sir Thiyagaraja College, Washermanpet, Chennai , Tamil Nadu",62,39,0,284,64%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,11.446297,76.6245560998766,-076.624556
"Jadhav Baliram Sukur","Elected",18/05/2009,"In office","Maharashtra","Palghar","Bahujan Vikas Aaghadi","Male","Under Matric",,56,6,0,183,93%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,23.980784,84.3894551932638,-084.389455
"Jadhav Prataprao Ganpatrao","Elected",18/05/2009,"In office","Maharashtra","Buldhana","Shiv Sena","Male","Under Graduate","B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana",51,12,0,282,63%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,20.563584,76.4448127462249,-076.444813
"Jagada Nand Singh","Elected",18/05/2009,"In office","Bihar","Buxar","Rashtriya Janata Dal","Male","Graduate","B.Sc., LL.B.; Educated at Banaras Hindu University and Harish Chandra P.G. College, Varanasi",70,63,0,312,94%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,25.439018,75.7950781523436,-075.795078
"Jagdambika Pal","Elected",18/05/2009,"In office","Uttar Pradesh","Domariyaganj","Indian National Congress","Male","Post Graduate","M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University",61,155,4,205,93%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,22.979931,74.0536217492995,-074.053622
