"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","age","Age","Debates","DebatesFormula","debates","Private Member Bills","Private Member BillsFormula","private member bills","Questions","QuestionFormula","questions","Attendance","attendance","AttendanceFormula","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Digvijay Singh","Elected","18/05/2009","24-06-2010","Bihar","Banka","Independent","Male","Post Graduate","M.A., M. Phil.; Educated at Patna University, Patna and Jawaharlal Nehru University, New Delhi and Tokyo University (Japan) ",56,56,2,17,17,0,2,2,0,85,85,"77%",0.97,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",8.7,0.2,62,"77%","09/01/1900",0.2,64,"87%",12.872321,77.5190177676571,-77.519018
"Dilip Kumar Mansukhlal Gandhi","Elected","18/05/2009","In office","Maharashtra","Ahmednagar","Bharatiya Janata Party","Male","Matric","S.S.C.; Educated at Pune University, Pune (Maharashtra)",61,61,24,39,39,0,2,2,171,256,256,"67%",0.87,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.159233,74.6045238326875,-74.604524
"Dilip Singh Ju Dev","Elected","18/05/2009","In office","Chhattisgarh","Bilaspur","Bharatiya Janata Party","Male","Post Graduate","B.A., LL.B. (Pt. II); Educated at Mayo College, Ajmer, Raj Kumar College, Raipur, ST. Xavier College, Ranchi, Chhotanagpur Law College, Ranchi",70,70,2,17,17,0,2,2,189,274,274,"62%",0.82,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",9.6,0.3,120,"64%",22.413616,81.9795158826418,-81.979516
"Dimple Yadav","Elected","09/06/2012","In office","Uttar Pradesh","Kannauj","Samajwadi Party","Female","Graduate","Graduation in humanities from Lucknow University",34,34,0,15,15,0,2,2,0,85,85,"50%",0.7,0.7," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",1.1,0.1,19,"77%",1.2,0,17,"80%",20.125299,81.1092632470914,-81.109263
"Dinesh Chandra Yadav","Elected","18/05/2009","In office","Bihar","Khagaria","Janata Dal (United)","Male","Diploma Course","D.C.E. (Civil), I.A.; Educated at Government Polytechnic, Saharsa and C.M. Science College, Madhipura, Bihar",62,62,35,50,50,0,2,2,311,396,396,"91%",1.11,1.11," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.491471,86.5705190024402,-86.570519
"Dinesh Kashyap","Elected","13/05/2011","In office","Chhattisgarh","Bastar","Bharatiya Janata Party","Male","Others",,42,42,0,15,15,0,2,2,6,91,91,"53%",0.73,0.73," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,"77%",3.8,0,65,"64%",19.415145,81.4553381958303,-81.455338
"Dinesh Trivedi","Elected","18/05/2009","In office","West Bengal","Barrackpur","All India Trinamool Congress","Male","Post Graduate","M.B.A.",62,62,0,15,15,0,2,2,0,85,85,"55%",0.75,0.75,"This MP was a Minister. He tendered his resignation on 18th March, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 19th March, 2012 (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",6.8,0.2,48,"77%",6.9,0.1,28,"72%",26.454154,90.9797137128098,-90.979714
"Dinsha J. Patel","Elected","18/05/2009","In office","Gujarat","Kheda","Indian National Congress","Male","Matric",,75,75,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",22.94845,73.0477956622586,-73.047796
"Dip Gogoi","Elected","18/05/2009","In office","Assam","Kaliabor","Indian National Congress","Male","Graduate","B.Sc.",60,60,0,15,15,0,2,2,0,85,85,"79%",0.99,0.99," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",16.2,0.5,59,"81%",19.819022,83.1596693527253,-83.159669
"Dudhgaonkar Ganeshrao Nagorao","Elected","18/05/2009","In office","Maharashtra","Parbhani","Shiv Sena","Male","Graduate","B.A., LL.B.",66,66,37,52,52,0,2,2,291,376,376,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.307986,76.6649378625424,-76.664938
"Dushyant Singh","Elected","18/05/2009","In office","Rajasthan","Jhalawar-Baran","Bharatiya Janata Party","Male","Post Graduate","B.A. , M.B.A. (Hotel Administration) and P.G. Diploma in Hotel Operations; Educated at Doon School, Dehradun,; St. Stephen`s College, Delhi, Johnson and Wales University, Providence, RI, USA and IHTTI School of Mangaement, Neuchatel, Switzerland, ",38,38,24,39,39,0,2,2,304,389,389,"78%",0.98,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",24.314496,76.2031297780977,-76.20313
"E. Ahamed","Elected","18/05/2009","In office","Kerala","Malappuram","Muslim League Kerala State Committee","Male","Graduate","B.A., B.L.; Educated at Government Brennen College, Tellicherry and Government Law College, Thiruvananthapuram (Kerala) ",74,74,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",11.105592,76.1894108485394,-76.189411
"E. T. Mohammed Basheer","Elected","18/05/2009","In office","Kerala","Ponnani","Muslim League Kerala State Committee","Male","Inter/ Higher Secondary",,66,66,45,60,60,0,2,2,135,220,220,"77%",0.97,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","18/02/1900",1.1,299,"84%",11.912195,79.737399072744,-79.737399
"E.G. Sugavanam","Elected","18/05/2009","In office","Tamil Nadu","Krisnagiri","Dravida Munnetra Kazhagam","Male","Diploma Course","Diploma in Pharmacy; Educated at K.L.E. Society, Nijalingappa College, Bangalore",54,54,17,32,32,0,2,2,614,699,699,"57%",0.77,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",16.425917,80.7777401552515,-80.77774
"Eknath Mahadeo Gaikwad","Elected","18/05/2009","In office","Maharashtra","Mumbai-South-Central","Indian National Congress","Male","Under Graduate",,72,72,7,22,22,0,2,2,724,809,809,"98%",1.18,1.18," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.111174,72.876151679526,-72.876152
"Farooq Abdullah","Elected","18/05/2009","In office","Jammu and Kashmir","Srinagar","Jammu and Kashmir National Conference","Male","Graduate","M.B.B.S.; Educated at S.M.S. Medical College, Jaipur, Rajasthan",74,74,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",34.265565,75.066317120808,-75.066317
"Feroze Varun Gandhi","Elected","18/05/2009","In office","Uttar Pradesh","Pilibhit","Bharatiya Janata Party","Male","Graduate","B.Sc. (Economics); educated at London School of Economics (LSE), London University, UK.",32,32,2,17,17,1,3,3,499,584,584,"70%",0.9,0.9," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",28.501206,80.0167088944251,-80.016709
"Francisco Sardinha","Elected","18/05/2009","In office","Goa","South Goa","Indian National Congress","Male","Graduate","B.Sc., B.Ed.; Educated at Chowgule College, Bombay University (Maharashtra) ",66,66,13,28,28,1,3,3,185,270,270,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","19/01/1900",0.5,150,"87%",15.121925,74.0596358841262,-74.059636
"G.V. Harsha Kumar","Elected","18/05/2009","In office","Andhra Pradesh","Amalapuram","Indian National Congress","Male","Post Graduate","M.Sc. (Marine Geology); Educated at Andhra University, Waljair, Andhra Pradesh",53,53,3,18,18,0,2,2,34,119,119,"82%",1.02,1.02," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",27.638719,76.6734339971837,-76.673434
"Gaddam Vivekanand","Elected","18/05/2009","In office","Andhra Pradesh","Peddapalle","Indian National Congress","Male","Graduate","M.B.B.S.; Educated at Osmania Medical College, Hyderabad, Andhra Pradesh",54,54,8,23,23,0,2,2,57,142,142,"66%",0.86,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",25.466478,85.3768359660654,-85.376836
"Gadhvi Mukeshkumar Bhairavdanji","Elected","18/05/2009","In office","Gujarat","Banaskantha","Indian National Congress","Male","Graduate","B.Com; Educated at Gujarat University",49,49,5,20,20,0,2,2,349,434,434,"83%",1.03,1.03," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","29/01/1900",1,276,"80%",24.268666,72.1447035065897,-72.144704
"Gajanan Dharmshi Babar","Elected","18/05/2009","In office","Maharashtra","Maval","Shiv Sena","Male","Under Matric",,69,69,18,33,33,0,2,2,804,889,889,"69%",0.89,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",26.037995,83.5526322273334,-83.552632
"Gajendra Singh Rajukhedi","Elected","18/05/2009","In office","Madhya Pradesh","Dhar","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Government Arts and Commerce College and Christian College, Indore, Madhya Pradesh",47,47,1,16,16,0,2,2,104,189,189,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",22.578224,75.0929451117277,-75.092945
"Ganesh Singh","Elected","18/05/2009","In office","Madhya Pradesh","Satna","Bharatiya Janata Party","Male","Post Graduate","M.A., LL.B.; Educated at Awadesh Pratap Singh University,; Rewa and Law College, Satna, Madhya Pradesh",50,50,111,126,126,0,2,2,457,542,542,"82%",1.02,1.02," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",24.578277,80.8729640256885,-80.872964
"Gangasandra Siddappa Basavaraj","Elected","18/05/2009","In office","Karnataka","Tumkur","Bharatiya Janata Party","Male","Graduate","B.Sc., B.L.; Educated at First Grade College, Tumkur and Vidyodaya Law College, Tumkur, Karnataka",71,71,2,17,17,2,4,4,161,246,246,"75%",0.95,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",13.418685,76.9082738266413,-76.908274
"Ghansyam Anuragi","Elected","18/05/2009","In office","Uttar Pradesh","Jalaun","Samajwadi Party","Male","Post Graduate","M.A. (Acharya), LL.B. (2nd year); Educated at Sampoornanad Sanskrit Vishwavidyalaya, Varanasi and Bundel Khand University, Jhansi, Uttar Pradesh",39,39,46,61,61,0,2,2,256,341,341,"95%",1.15,1.15," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.105968,79.444395521059,-79.444396
"Girija Vyas","Elected","18/05/2009","In office","Rajasthan","Chittorgarh","Indian National Congress","Female","Doctorate","M.A., Ph.D.; Educated at University of Udaipur (Rajasthan) and in U.S.A.",66,66,18,33,33,0,2,2,16,101,101,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",13.308128,79.0598228866808,-79.059823
"Gobinda Chandra Naskar","Elected","18/05/2009","In office","West Bengal","Bongaon","All India Trinamool Congress","Male","Post Graduate","M.A., B.T.; Educated at Jadavpur University (JU) ",71,71,8,23,23,0,2,2,1,86,86,"78%",0.98,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",26.333065,90.6216807279337,-90.621681
"Gopal Singh Shekhawat","Elected","18/05/2009","In office","Rajasthan","Rajsamand","Indian National Congress","Male","Graduate","B.A., L.L.B.; Educated at Rajasthan University",61,61,13,28,28,0,2,2,73,158,158,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",25.419085,73.9458951021497,-73.945895
"Gorakh Prasad Jaiswal","Elected","18/05/2009","In office","Uttar Pradesh","Deoria","Bahujan Samaj Party","Male","Matric","Educated at Town Hindi High School, Golaghat, Assam",73,73,29,44,44,0,2,2,530,615,615,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.423915,83.8352119259211,-83.835212
"Goraknath Pandey","Elected","18/05/2009","In office","Uttar Pradesh","Bhadohi","Bahujan Samaj Party","Male","Post Graduate","M.A., B.Ed.; Educated at Gyanpur P.G. College, Bhadohi, Agra University, Uttar Pradesh",61,61,77,92,92,0,2,2,108,193,193,"95%",1.15,1.15," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",21.879639,77.7792483618889,-77.779248
"Govind Prasad Mishra","Elected","18/05/2009","In office","Madhya Pradesh","Sidhi","Bharatiya Janata Party","Male","Graduate","B.A., LL.B. & D.C.E.; Educated at A.P.S. University, Reva (Madhya Pradesh) and; Samrat Ashok Technical Institute, Vidisha, Madhya Pradesh",63,63,30,45,45,0,2,2,163,248,248,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",24.243573,82.0608770046626,-82.060877
"Gowdar Mallikarjunappa Siddeswara","Elected","18/05/2009","In office","Karnataka","Davanagere","Bharatiya Janata Party","Male","Matric","Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka) ",60,60,15,30,30,0,2,2,639,724,724,"60%",0.8,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",14.367205,75.9670815486963,-75.967082
"Gurudas Dasgupta","Elected","18/05/2009","In office","West Bengal","Ghatal","Communist Party of India","Male","Post Graduate","M. Com; Educated at Asutosh College, Calcutta and; University College of Arts & Commerce, Calcutta",75,75,71,86,86,0,2,2,411,496,496,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",24.668279,84.845166137498,-84.845166
"Gurudas Kamat","Elected","18/05/2009","In office","Maharashtra","Mumbai-North-West","Indian National Congress","Male","Post Graduate","B.Com., LL.B., M.B.A.; Educated at R.A. Podar College of Commerce and Economics and Government Law College, Mumbai, Maharashtra",57,57,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",19.111174,72.876151679526,-72.876152
"H.D. Devegowda","Elected","18/05/2009","In office","Karnataka","Hassan","Janata Dal (Secular)","Male","Diploma Course","D.C.E.; Educated at Government High School, Holenarsipura and Smt.L.V. Polytechnic, Hassan, Karnataka",79,79,21,36,36,0,2,2,0,85,85,"69%",0.89,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",13.029806,76.0955247235006,-76.095525
"H.D. Kumaraswamy","Elected","18/05/2009","In office","Karnataka","Bangalore Rural","Janata Dal (Secular)","Male","Graduate","B.Sc.",52,52,2,17,17,0,2,2,0,85,85,"38%",0.58,0.58," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",12.872321,77.5190177676571,-77.519018
"Hamdullah Sayeed","Elected","18/05/2009","In office","Lakshadweep","Lakshadweep","Indian National Congress","Male","Graduate","B.Sc., LL.B.; Educated at Indian Law Society, Pune",30,30,31,46,46,1,3,3,377,462,462,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",31,1,377,"85%",9.983055,72.9331642778204,-72.933164
"Hansraj Gangaram Ahir","Elected","18/05/2009","In office","Maharashtra","Chandrapur","Bharatiya Janata Party","Male","Inter/ Higher Secondary","S.S.C.; Educated at L.T.Y. School, Chandrapur, Maharashtra",57,57,87,102,102,24,26,26,746,831,831,"72%",0.92,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.09584,79.3985358358084,-79.398536
"Hari Manjhi","Elected","18/05/2009","In office","Bihar","Gaya","Bharatiya Janata Party","Male","Under Matric",,49,49,12,27,27,0,2,2,78,163,163,"95%",1.15,1.15," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",24.668279,84.845166137498,-84.845166
"Haribhau Madhav Jawale","Elected","18/05/2009","In office","Maharashtra","Raver","Bharatiya Janata Party","Male","Graduate","B.Sc.; Educated at M.J. College, Jalgaon, Maharashtra",59,59,36,51,51,1,3,3,226,311,311,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",17.281703,73.4488974189791,-73.448897
"Harin Pathak","Elected","18/05/2009","In office","Gujarat","Ahmedabad East","Bharatiya Janata Party","Male","Graduate","B.A., B.Ed.; Educated at Gujarat University, Ahmedabad (Gujarat) ",65,65,26,41,41,0,2,2,262,347,347,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","29/01/1900",1,276,"80%",19.159233,74.6045238326875,-74.604524
"Harischandra Deoram Chavan","Elected","18/05/2009","In office","Maharashtra","Dindori","Bharatiya Janata Party","Male","Graduate","B.A. (With English Special); Educated at K.G. Joshi College, Thane (Maharashtra) ",60,60,6,21,21,0,2,2,566,651,651,"80%",1,1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",10.425948,77.8026704047812,-77.80267
"Harish Choudhary","Elected","18/05/2009","In office","Rajasthan","Barmer","Indian National Congress","Male","Post Graduate","M.A. (Economics); Educated at Jai Narayanvyas University, Jodhpur, Rajasthan",42,42,45,60,60,0,2,2,444,529,529,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",25.581183,71.4671891805628,-71.467189
"Harish Rawat","Elected","18/05/2009","In office","Uttarakhand","Hardwar","Indian National Congress","Male","Graduate","B.A., LL.B; Educated at Lucknow University, Uttar Pradesh",64,64,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",29.892869,78.0293360463885,-78.029336
"Harsh Vardhan","Elected","18/05/2009","In office","Uttar Pradesh","Maharajganj","Indian National Congress","Male","Graduate","B.A.; Educated at Lucknow University , Uttar Pradesh",64,64,37,52,52,0,2,2,275,360,360,"80%",1,1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",9.935836,77.968039832471,-77.96804
"Harsimrat Kaur Badal","Elected","18/05/2009","In office","Punjab","Bathinda","Shiromani Akali Dal","Female","Graduate","Degree in Dress designing",46,46,23,38,38,0,2,2,210,295,295,"76%",0.96,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",30.17806,75.0118373960848,-75.011837
"Hassan Khan","Elected","18/05/2009","In office","Jammu and Kashmir","Ladakh","Independent","Male","Graduate","B.A.; Educated at Kashmir University, Srinagar, Jammu & Kashmir",72,72,14,29,29,0,2,2,47,132,132,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",35.4,0,84,"89%",26.922597,83.9759949136846,-83.975995
"Hemanand Biswal","Elected","18/05/2009","In office","Orissa","Sundargarh","Indian National Congress","Male","Inter/ Higher Secondary",,72,72,8,23,23,0,2,2,195,280,280,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",22.059836,84.4584306349536,-84.458431
"Hukamdeo Narayan Yadav","Elected","18/05/2009","In office","Bihar","Madhubani","Bharatiya Janata Party","Male","Graduate","Graduate, Amanat (Land surveying); Educated at Chandradhari Mithila College, Darbhanga, Bihar",72,72,74,89,89,0,2,2,232,317,317,"95%",1.15,1.15," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",26.355389,86.2388335626448,-86.238834
"Ijyaraj Singh","Elected","18/05/2009","In office","Rajasthan","Kota","Indian National Congress","Male","Post Graduate","MBA (Marketing), B.Sc. (Computer Science); Educated at Columbia Business School, Columbia University, New York, U.S.A. and Brown University Providence, Rhode Island, U.S.A.",47,47,28,43,43,0,2,2,381,466,466,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",25.191239,76.0979068018658,-76.097907
"Inder Singh Namdhari","Elected","18/05/2009","In office","Jharkhand","Chatra","Independent","Male","Graduate","B.E. (Telecommunication); Educated at BIT, Sindri, Jharkhand",69,69,18,33,33,2,4,4,159,244,244,"90%",1.1,1.1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",25.9,0.8,185,"65%",27.280301,96.4039691254341,-96.403969
"Inderjit Singh Rao","Elected","18/05/2009","In office","Haryana","Gurgaon","Indian National Congress","Male","Graduate","B.A. (Hons), LL.B., Educated at University of Delhi, Delhi",62,62,2,17,17,0,2,2,10,95,95,"80%",1,1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",8.7,0.1,149,"69%",28.094081,76.991916015836,-76.991916
"Ingrid Mcleod","Nominated","18/09/2009","In office",,,"Independent","Female","Graduate","Educated at Guru Ghasidas University, Bilaspur, Chhattisgarh",44,44,4,19,19,0,2,2,102,187,187,"80%",1,1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",24.8,0.5,198,"77%",31.6,0,99,"90%",39.11,65.29,"#N/A"
"Ismail Hussain","Elected","18/05/2009","In office","Assam","Barpeta","Indian National Congress","Male","Post Graduate","M.A.; Educated at B.H. College, Howli, Barpeta, Assam and Gauwhati University, Assam",62,62,0,15,15,0,2,2,0,85,85,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",16.2,0.5,59,"81%",26.454154,90.9797137128098,-90.979714
"J. Shantha","Elected","18/05/2009","In office","Karnataka","Bellary","Bharatiya Janata Party","Female","Inter/ Higher Secondary",,39,39,10,25,25,0,2,2,516,601,601,"60%",0.8,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",15.19765,76.4173838209143,-76.417384
"J.M. Aaron Rashid","Elected","18/05/2009","In office","Tamil Nadu","Theni","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Sir Thiyagaraja College, Washermanpet, Chennai , Tamil Nadu",62,62,39,54,54,0,2,2,284,369,369,"64%",0.84,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",11.446297,76.6245560998766,-76.624556
